id,naziv,cijena,ikona
1,"Asus nVidia GeForce GT710","215.00 KM",http://imtec.ba/141998-large_default/asus-nvidia-geforce-gt710-silent-1gb-ddr3.jpg
2,"Asus nVidia GeForce GT730","122.00 KM",http://imtec.ba/5021-large_default/asus-nvidia-geforce-gt730-1gd3-gt730-sl-1gd3-brk.jpg
3,"Gigabyte nVidia GeForce GT730","414.00 KM",http://imtec.ba/2752-large_default/gigabyte-nvidia-geforce-gt730-2gb-ddr3-gv-n730-2gi.jpg
4,"Gigabyte nVidia GeForce GT740","215.00 KM",http://imtec.ba/43752-home_default/intel-core-i3-4160-3-6-ghz-lga1150-box.jpg
5,"Asus AMD Radeon Strix","215.00 KM",http://imtec.ba/142082-large_default/asus-amd-radeon-strix-rx460-gaming-4gb-ddr5.jpg
6,"Asus Strix AMD Radeon","215.00 KM",http://imtec.ba/3696-large_default/asus-strix-amd-radeon-r7-370-2gb-ddr5-gaming.jpg
7,naziv1,"215.00 KM",https://cdn4.iconfinder.com/data/icons/computer-hardware/512/RAM.png
8,naziv2,"215.00 KM",http://imtec.ba/43752-home_default/intel-core-i3-4160-3-6-ghz-lga1150-box.jpg
10,naaziv44,"215.00 KM",https://cdn4.iconfinder.com/data/icons/computer-hardware/512/RAM.png
11,"VGA GIGABYTE nVIDIA GV-N210SL-1GI","215.00 KM",http://www.plus.ba/assets/products/vga_gigabyte_amd_gv-r724oc-2gi_201.jpg
12,"VGA GIGABYTE AMD GV-R724OC-2GI 2.1","215.00 KM",http://www.plus.ba/assets/products/vga_gigabyte_amd_gv-r724oc-2gi_201.jpg
13,Najnoviji,2333.00KM,http://imtec.ba/144052-large_default/samsung-led-full-hd-ue40j5100.jpg
15,naaziv33,"215.00 KM",https://cdn4.iconfinder.com/data/icons/computer-hardware/512/RAM.png
